20260719_132423,Productivity,13:25:37,1.14,5
20260719_132423,Productivity,13:26:16,1.76,1
20260719_132713,Bio,13:48:47,21.53,
20260719_132713,Pause,13:50:22,1.57,
20260719_135044,Pause,13:50:45,1.95,
20260719_135044,Productivity,13:50:55,0.05,3
20260719_135044,Pause,13:50:58,0.06,
20260719_135943,Pause,13:59:46,8.85,
20260719_135943,Productivity,13:59:56,0.02,5
20260719_135943,Bio,14:02:11,2.25,
20260719_135943,Pause,14:28:26,26.24,
20260719_142835,Pause,14:28:40,26.48,
20260719_142835,Productivity,14:28:44,0.03,5
20260719_142835,Pause,14:40:07,11.39,
20260719_142835,Productivity,15:05:20,25.17,4
20260719_142835,Pause,15:34:29,29.15,
20260719_142835,Productivity,15:59:57,25.43,3
20260719_142835,Pause,17:31:45,91.8,
20260719_142835,Productivity,18:46:16,74.47,4
20260719_142835,Productivity,18:47:19,74.71,
20260719_184807,Productivity,18:48:14,0.05,1
20260719_184807,Productivity,18:50:41,2.51,1
20260719_185111,Pause,18:51:14,0.03,
20260719_185111,Productivity,18:51:19,0.05,1
20260719_185111,Pause,18:51:20,0.02,
20260719_185111,Pause,18:51:23,0.07,
20260719_185256,Productivity,18:53:06,0.04,1,FEA
20260719_185256,Pause,18:53:09,0.06,,
20260719_185256,Productivity,18:53:14,0.06,,
20260719_185256,Mittag Essen,18:53:15,0.02,,
20260719_185256,Mittag Essen,18:53:42,0.46,,
20260719_185625,Productivity,18:57:35,1.09,,
20260719_185625,Pause,18:57:37,0.03,,
20260719_185625,Productivity,18:57:40,0.04,,
20260719_185625,Productivity,18:57:46,0.14,,
20260719_185911,Bio,18:59:13,0.01,,
20260719_185921,Bio,18:59:24,0.19,,
20260719_185921,Bio,18:59:25,0.22,,
20260719_190218,Productivity,19:02:24,0.04,,
20260719_190218,Pause,19:02:25,0.01,,
20260719_190218,Mittag Essen,19:02:26,0.02,,
20260719_190218,Mittag Essen,19:02:28,0.05,,
20260720_114738,Productivity,11:47:43,0.03,,
20260720_114754,Productivity,11:48:03,0.38,,
20260720_114754,Pause,11:48:03,0.01,,
20260720_114754,Productivity,12:10:41,22.53,4,Materials
20260720_114754,Pause,12:22:41,11.99,,
20260720_114754,Productivity,12:48:11,25.38,4,Materials
20260720_114754,Pause,12:53:21,5.18,,
20260720_114754,Productivity,13:21:57,28.46,3,Materials
20260720_114754,Pause,13:43:07,21.17,,
20260720_114754,Productivity,14:05:44,22.51,2,Materials
20260720_114754,Mittag Essen,15:11:41,65.96,,
20260720_114754,Productivity,15:36:57,25.16,4,Materials
20260720_114754,Pause,15:42:19,5.37,,
20260720_114754,Productivity,16:07:34,25.14,4,Materials
20260720_114754,Pause,16:15:05,7.53,,
20260720_114754,Productivity,16:35:54,20.7,4,Materials
20260720_114754,Pause,16:38:05,2.19,,
20260720_114754,Productivity,16:54:13,16.04,4,Materials
20260720_114754,Pause,17:04:45,10.52,,
20260720_114754,Pause,17:04:47,10.56,,
20260721_110036,Productivity,11:27:24,26.7,4,Materials
20260721_110036,Pause,11:32:03,4.65,,
20260721_110036,Productivity,12:03:45,31.59,4,Materials
20260721_110036,Pause,12:09:19,5.57,,
20260721_110036,Productivity,12:34:07,24.72,3,Materials
20260721_110036,Pause,12:41:48,7.68,,
20260721_110036,Productivity,13:10:52,28.98,5,Materials
20260721_110036,Mittag Essen,13:55:27,44.57,,
20260721_110036,Productivity,14:24:55,29.37,2,Materials
20260721_110036,Pause,14:35:26,10.52,,
20260721_110036,Productivity,15:19:00,43.42,4,Materials
20260721_110036,Pause,15:35:49,16.82,,
20260721_110036,Productivity,15:36:00,0.09,5,Materials
20260721_110036,Pause,15:36:19,0.31,,
20260721_110036,Productivity,15:58:32,22.13,3,Materials
20260721_110036,Pause,16:12:48,14.27,,
20260721_110036,Productivity,16:44:41,31.79,5,Materials
20260721_110036,Pause,16:57:05,12.39,,
20260721_110036,Productivity,17:23:54,26.73,5,Materials
20260721_110036,Productivity,17:23:57,26.87,,
20260722_101824,Productivity,10:19:04,0.54,5,
20260722_101824,Pause,10:20:26,1.37,,
20260722_101824,Pause,10:22:28,3.4,,
20260722_102239,Productivity,10:22:46,0.03,,
20260722_102239,Pause,10:22:47,0.02,,
20260722_102429,Productivity,10:24:44,0.05,5,
20260722_102429,Pause,10:24:46,0.04,,
20260722_102429,Pause,10:28:51,4.11,,
20260722_103106,Admin,10:31:14,0.08,,
20260722_103656,Productivity,10:37:11,0.14,5,Materials
20260722_103656,Productivity,10:41:41,4.74,,
20260722_104259,Productivity,10:43:12,0.06,2,FEA
20260722_104259,Productivity,10:43:31,0.51,,
20260722_110018,Break,11:04:07,3.78,,
20260722_110018,Productivity,11:38:19,34.03,4,Materials
20260722_110018,Break,11:45:28,7.16,,
20260722_110018,Productivity,12:22:40,37.11,5,Materials
20260722_110018,Break,12:29:47,7.11,,
20260722_110018,Productivity,12:56:14,26.33,4,Materials
20260722_110018,Lunch,14:06:27,70.2,,
20260722_110018,Productivity,14:32:15,25.7,3,Materials
20260722_110018,Break,14:38:33,6.29,,
20260722_110018,Productivity,15:19:19,40.51,5,Vokabeln
20260722_110018,Break,15:19:23,0.08,,
20260722_151947,Break,15:19:54,0.59,,
20260722_151947,Other,15:19:56,0.03,,
20260722_151947,Break,15:26:39,6.72,,
20260722_151947,Productivity,16:03:16,36.5,4,Materials
20260722_151947,Break,16:49:35,46.32,,
20260722_151947,Break,16:55:14,51.98,,
20260722_172909,Productivity,17:34:16,5.07,,
20260722_172909,Productivity,17:34:29,5.31,,
20260724_105730,Productivity,11:32:05,34.41,3,Bio
20260724_105730,Break,11:36:29,4.4,,
20260724_105730,Productivity,12:03:58,27.31,3,Bio
20260724_105730,Break,12:11:30,7.53,,
20260724_105730,Productivity,12:42:39,31.01,4,Bio
20260724_105730,Break,13:05:29,22.85,,
20260724_105730,Productivity,13:41:05,35.49,4,Bio
20260724_105730,Lunch,14:42:55,61.83,,
20260724_105730,Productivity,15:21:37,38.56,4,Bio
20260724_105730,Break,15:29:22,7.76,,
20260724_105730,Productivity,16:06:44,37.24,4,Bio
20260724_105730,Break,16:21:10,14.44,,
20260724_105730,Productivity,16:28:17,7.02,2,Bio
20260724_105730,Break,16:28:20,0.04,,
20260724_105730,Productivity,17:18:40,50.27,4,Vokabeln
20260724_105730,Break,18:21:06,62.43,,
20260724_105730,Break,19:48:28,149.79,,
